date,asset,1m,3m,5m
2023-09-22 09:52:03,300965.SZ,,,
2023-09-22 09:52:06,000666.SZ,,,
2023-09-22 09:52:06,300965.SZ,,,
2023-09-22 09:52:09,000666.SZ,,,
2023-09-22 09:52:09,300965.SZ,,,
2023-09-22 09:52:12,000666.SZ,,,
2023-09-22 09:52:12,300965.SZ,,,
2023-09-22 09:52:15,000666.SZ,,,
2023-09-22 09:52:15,300965.SZ,,,
2023-09-22 09:52:18,000666.SZ,,,
2023-09-22 09:52:18,300965.SZ,,,
2023-09-22 09:52:21,000666.SZ,,,
2023-09-22 09:52:21,300965.SZ,,,
2023-09-22 09:52:24,000666.SZ,,,
2023-09-22 09:52:24,300965.SZ,,,
2023-09-22 09:52:27,000666.SZ,,,
2023-09-22 09:52:27,300965.SZ,,,
2023-09-22 09:52:30,000666.SZ,,,
2023-09-22 09:52:30,300965.SZ,,,
2023-09-22 09:52:33,000666.SZ,,,
2023-09-22 09:52:33,300965.SZ,,,
2023-09-22 09:52:36,000666.SZ,,,
2023-09-22 09:52:36,300965.SZ,,,
2023-09-22 09:52:39,000666.SZ,,,
2023-09-22 09:52:39,300965.SZ,,,
2023-09-22 09:52:42,000666.SZ,,,
2023-09-22 09:52:42,300965.SZ,,,
2023-09-22 09:52:45,000666.SZ,,,
2023-09-22 09:52:45,300965.SZ,,,
2023-09-22 09:52:48,000666.SZ,,,
2023-09-22 09:52:48,300965.SZ,,,
2023-09-22 09:52:51,000666.SZ,,,
2023-09-22 09:52:51,300965.SZ,,,
2023-09-22 09:52:54,000666.SZ,,,
2023-09-22 09:52:54,300965.SZ,,,
2023-09-22 09:52:57,000666.SZ,,,
2023-09-22 09:52:57,300965.SZ,,,
2023-09-22 09:53:00,000666.SZ,,,
2023-09-22 09:53:00,300965.SZ,,,
2023-09-22 09:53:03,000666.SZ,,,
2023-09-22 09:53:03,300965.SZ,,,
2023-09-22 09:53:06,000666.SZ,,,
2023-09-22 09:53:06,300965.SZ,,,
2023-09-22 09:53:09,000666.SZ,,,
2023-09-22 09:53:09,300965.SZ,,,
2023-09-22 09:53:12,000666.SZ,,,
2023-09-22 09:53:12,300965.SZ,,,
2023-09-22 09:53:15,000666.SZ,,,
2023-09-22 09:53:15,300965.SZ,,,
2023-09-22 09:53:18,000666.SZ,,,
2023-09-22 09:53:18,300965.SZ,,,
2023-09-22 09:53:21,000666.SZ,,,
2023-09-22 09:53:21,300965.SZ,,,
2023-09-22 09:53:24,000666.SZ,,,
2023-09-22 09:53:24,300965.SZ,,,
2023-09-22 09:53:27,000666.SZ,,,
2023-09-22 09:53:27,300965.SZ,,,
2023-09-22 09:53:30,000666.SZ,,,
2023-09-22 09:53:30,300965.SZ,,,
2023-09-22 09:53:33,000666.SZ,,,
2023-09-22 09:53:33,300965.SZ,,,
2023-09-22 09:53:36,000666.SZ,,,
2023-09-22 09:53:36,300965.SZ,,,
2023-09-22 09:53:39,000666.SZ,,,
2023-09-22 09:53:39,300965.SZ,,,
2023-09-22 09:53:42,000666.SZ,,,
2023-09-22 09:53:42,300965.SZ,,,
2023-09-22 09:53:45,000666.SZ,,,
2023-09-22 09:53:45,300965.SZ,,,
2023-09-22 09:53:48,000666.SZ,,,
2023-09-22 09:53:48,300965.SZ,,,
2023-09-22 09:53:51,000666.SZ,,,
2023-09-22 09:53:51,300965.SZ,,,
2023-09-22 09:53:54,000666.SZ,,,
2023-09-22 09:53:54,300965.SZ,,,
2023-09-22 09:53:57,000666.SZ,,,
2023-09-22 09:53:57,300965.SZ,,,
2023-09-22 09:54:00,000666.SZ,,,
2023-09-22 09:54:00,300965.SZ,,,
2023-09-22 09:54:03,000666.SZ,,,
2023-09-22 09:54:03,300965.SZ,,,
2023-09-22 09:54:06,000666.SZ,,,
2023-09-22 09:54:06,300965.SZ,,,
2023-09-22 09:54:09,000666.SZ,,,
2023-09-22 09:54:09,300965.SZ,,,
2023-09-22 09:54:12,000666.SZ,,,
2023-09-22 09:54:12,300965.SZ,,,
2023-09-22 09:54:15,000666.SZ,,,
2023-09-22 09:54:15,300965.SZ,,,
2023-09-22 09:54:18,000666.SZ,,,
2023-09-22 09:54:18,300965.SZ,,,
2023-09-22 09:54:21,000666.SZ,,,
2023-09-22 09:54:21,300965.SZ,,,
2023-09-22 09:54:24,000666.SZ,,,
2023-09-22 09:54:24,300965.SZ,,,
2023-09-22 09:54:27,000666.SZ,,,
2023-09-22 09:54:27,300965.SZ,,,
2023-09-22 09:54:30,000666.SZ,,,
2023-09-22 09:54:30,300965.SZ,,,
2023-09-22 09:54:33,000666.SZ,,,
2023-09-22 09:54:33,300965.SZ,,,
2023-09-22 09:54:36,000666.SZ,,,
2023-09-22 09:54:36,300965.SZ,,,
2023-09-22 09:54:39,000666.SZ,,,
2023-09-22 09:54:39,300965.SZ,,,
2023-09-22 09:54:42,000666.SZ,,,
2023-09-22 09:54:42,300965.SZ,,,
2023-09-22 09:54:45,000666.SZ,,,
2023-09-22 09:54:45,300965.SZ,,,
2023-09-22 09:54:48,000666.SZ,,,
2023-09-22 09:54:48,300965.SZ,,,
2023-09-22 09:54:51,000666.SZ,,,
2023-09-22 09:54:51,300965.SZ,,,
2023-09-22 09:54:54,000666.SZ,,,
2023-09-22 09:54:54,300965.SZ,,,
2023-09-22 09:54:57,000666.SZ,,,
2023-09-22 09:54:57,300965.SZ,,,
2023-09-22 09:55:00,000666.SZ,,,
2023-09-22 09:55:00,300965.SZ,,,
2023-09-22 09:55:03,000666.SZ,,,
2023-09-22 09:55:03,300965.SZ,,,
2023-09-22 09:55:06,000666.SZ,,,
2023-09-22 09:55:06,300965.SZ,,,
2023-09-22 09:55:09,000666.SZ,,,
2023-09-22 09:55:09,300965.SZ,,,
2023-09-22 09:55:12,000666.SZ,,,
2023-09-22 09:55:12,300965.SZ,,,
2023-09-22 09:55:15,000666.SZ,,,
2023-09-22 09:55:15,300965.SZ,,,
2023-09-22 09:55:18,000666.SZ,,,
2023-09-22 09:55:18,300965.SZ,,,
2023-09-22 09:55:21,000666.SZ,,,
2023-09-22 09:55:21,300965.SZ,,,
2023-09-22 09:55:24,000666.SZ,,,
2023-09-22 09:55:24,300965.SZ,,,
2023-09-22 09:55:27,000666.SZ,,,
2023-09-22 09:55:27,300965.SZ,,,
2023-09-22 09:55:30,000666.SZ,,,
2023-09-22 09:55:30,300965.SZ,,,
2023-09-22 09:55:33,000666.SZ,,,
2023-09-22 09:55:33,300965.SZ,,,
2023-09-22 09:55:36,000666.SZ,,,
2023-09-22 09:55:36,300965.SZ,,,
2023-09-22 09:55:39,000666.SZ,,,
2023-09-22 09:55:39,300965.SZ,,,
2023-09-22 09:55:42,000666.SZ,,,
2023-09-22 09:55:42,300965.SZ,,,
2023-09-22 09:55:45,000666.SZ,,,
2023-09-22 09:55:45,300965.SZ,,,
2023-09-22 09:55:48,000666.SZ,,,
2023-09-22 09:55:48,300965.SZ,,,
